Perturbation_Level,Method,ATS,SC2D,SD2
0.2,RS,0.9870330937206745,0.8058404969756623,1.0
0.2,RR,0.8298483911717085,0.7938334684130679,0.35745335629120656
0.2,ER,0.9796832884661854,0.8043766260268952,0.5524579278516872
0.2,ED,0.9805742018312836,0.7885579500043356,0.48158509954767836
0.2,RS,0.9882779563800126,0.7301612569223046,1.0
0.2,RR,0.8368766473137456,0.8188223488008396,0.4030038721835707
0.2,ER,0.9820908146541211,0.7737483965577849,0.4880884817015154
0.2,ED,0.9904104914911259,0.7708647023303468,0.38278221853731875
0.2,RS,0.9835859494633041,0.6448956700129975,1.0
0.2,RR,0.8396855724709695,0.669975798021395,0.12268096672342355
0.2,ER,0.9982735025696456,0.7171724120435845,0.44151844011225294
0.2,ED,0.9996919909727227,0.6782733364325613,0.4280750593487118
0.2,RS,0.9999282956123352,1.0,1.0
0.2,RR,0.8749537393850915,1.0,0.8593550203685931
0.2,ER,0.9999282956123352,1.0,1.0
0.2,ED,0.9999272653034755,1.0,0.8319256396465604
0.2,RS,0.9575575976791736,0.6587678091948637,1.0
0.2,RR,0.7957388348792854,0.5952771072532124,0.11526133330383626
0.2,ER,0.9872303808856214,0.6600013772960426,0.49509756796392423
0.2,ED,0.9945094135213406,0.6316977141107334,0.4450385429441308
0.4,RS,0.9746032246698936,0.8043617817971294,1.0
0.4,RR,0.7133630503471977,0.7558807324903615,0.35745335629120656
0.4,ER,0.9649220000021159,0.7368211181061828,0.39511150827124564
0.4,ED,0.997991299463643,0.7209178594397742,0.38928119690246243
0.4,RS,0.9714777602459531,0.781339148970928,1.0
0.4,RR,0.7348362764558284,0.7336869874072685,0.23078310048774997
0.4,ER,0.97878937925883,0.6957864771721882,0.2868649766276469
0.4,ED,0.9871492190324479,0.7029684022473359,0.25119254574319627
0.4,RS,0.9673183406193857,0.668985900735076,1.0
0.4,RR,0.6512515322865369,0.6158997393297085,0.11361912820366304
0.4,ER,0.9893876649439335,0.5803131601470262,0.2547285406965025
0.4,ED,0.9996895813322687,0.6119429113233321,0.14819110940324487
0.4,RS,0.999919056892395,1.0,1.0
0.4,RR,0.8972891494631767,1.0,0.820871215252208
0.4,ER,0.9988286271691322,1.0,0.8319256396465604
0.4,ED,0.999931812286377,1.0,0.7029495840782942
0.4,RS,0.9325617685242164,0.6530618546748991,1.0
0.4,RR,0.6968031101637008,0.5727806748737272,0.09571845264824508
0.4,ER,0.9671006330058106,0.599999661376174,0.26024492665400834
0.4,ED,0.9933046807705517,0.5841113931882982,0.21344238112381997
0.6,RS,0.9461123368469998,0.7630521656339094,1.0
0.6,RR,0.5587737946697264,0.7461857581212765,0.35745335629120656
0.6,ER,0.9636674786917865,0.7488929245948479,0.32502821606928867
0.6,ED,0.9980813438693682,0.6749775028692935,0.3211363792896491
